id,goals,own_goals,shots,xG,time,player_id,understat_team_id,position,player,h_a,yellow_card,red_card,roster_in,roster_out,key_passes,assists,xA,xGChain,xGBuildup,positionOrder,fixture_id,team_id,team_name,h_xg,a_xg,team_xG,xGI,gameweek,penalty_attempt,penalty_scored,npxG,npxGI
666811,0,0,0,0.0,87,8430,78,DC,Chris Richards,a,1,0,666824,0,0,0,0.0,0.0987855121493339,0.0987855121493339,3,26609,6,Crystal Palace,1.38064,1.14757,1.14757,0.0,1,0,0,0.0,0.0
666812,0,0,0,0.0,90,7603,78,DC,Marc Guehi,a,1,0,0,0,0,0,0.0,0.1133999526500701,0.1133999526500701,3,26609,6,Crystal Palace,1.38064,1.14757,1.14757,0.0,1,0,0,0.0,0.0
666810,0,0,1,0.0322997756302356,90,6314,78,DC,Joachim Andersen,a,1,0,0,0,0,0,0.0,0.1456997245550155,0.1456997245550155,3,26609,6,Crystal Palace,1.38064,1.14757,1.14757,0.0322997756302356,1,0,0,0.0322997756302356,0.0322997756302356
666813,0,0,0,0.0,90,12408,78,DMR,Daniel Muñoz,a,0,0,0,0,1,0,0.0322997756302356,0.1558635681867599,0.1235637962818145,5,26609,6,Crystal Palace,1.38064,1.14757,1.14757,0.0322997756302356,1,0,0,0.0,0.0322997756302356
666814,0,0,1,0.0625356212258338,90,8214,78,DML,Tyrick Mitchell,a,0,0,0,0,2,0,0.1646319776773452,0.8054159283638,0.6770338416099548,6,26609,6,Crystal Palace,1.38064,1.14757,1.14757,0.2271675989031791,1,0,0,0.0625356212258338,0.2271675989031791
666816,0,0,0,0.0,87,6104,78,MC,Will Hughes,a,0,0,666823,0,1,0,0.0172790940850973,0.1554573327302932,0.1554573327302932,9,26609,6,Crystal Palace,1.38064,1.14757,1.14757,0.0172790940850973,1,0,0,0.0,0.0172790940850973
666815,0,0,3,0.0722061470150947,77,12409,78,MC,Adam Wharton,a,0,0,666820,0,0,0,0.0,0.031893540173769,0.0146144451573491,9,26609,6,Crystal Palace,1.38064,1.14757,1.14757,0.0722061470150947,1,0,0,0.0722061470150947,0.0722061470150947
666817,0,0,0,0.0,73,6145,78,AMC,Daichi Kamada,a,1,0,666822,0,2,0,0.0549270510673522,0.0146144451573491,0.0,12,26609,6,Crystal Palace,1.38064,1.14757,1.14757,0.0549270510673522,1,0,0,0.0,0.0549270510673522
666818,0,0,7,0.4360718727111816,90,8706,78,AMC,Eberechi Eze,a,0,0,0,0,0,0,0.0,0.370917946100235,0.0641933158040046,12,26609,6,Crystal Palace,1.38064,1.14757,1.14757,0.4360718727111816,1,0,0,0.4360718727111816,0.4360718727111816
666819,0,0,0,0.0,49,5735,78,FW,Jean-Philippe Mateta,a,0,0,666821,0,0,0,0.0,0.0322997756302356,0.0322997756302356,15,26609,6,Crystal Palace,1.38064,1.14757,1.14757,0.0,1,0,0,0.0,0.0
